nome,sobrenome,email,cpf_cnpj,profissao,aniversario
Josephine,Sprage,Josephine.Sprage@edesoft.com,514.369.398-52,desenvolvedor python,05/07/1948
Cathie,Chabot,Cathie.Chabot@edesoft.com,75.664.823/0001-10,desenvolvedor python,02/11/1943
Genovera,Manolo,Genovera.Manolo@edesoft.com,242.272.471-01,gerente,03/02/1924
Doro,Shirberg,Doro.Shirberg@edesoft.com,049.231.428-47,dba,04/11/1994
Mariele,Auberbach,Mariele.Auberbach@edesoft.com,30.769.168/0001-27,diretor,03/03/1981
Tiffie,Wandie,Tiffie.Wandie@edesoft.com,652.402.959-30,diretor,20/04/1904
Joelly,Stav,Joelly.Stav@edesoft.com,70.994.336/0001-00,eng. software,11/07/1915
Mariann,Natica,Mariann.Natica@edesoft.com,882.806.514-11,estagiario,16/03/1905
Elvira,Magdalen,Elvira.Magdalen@edesoft.com,74.025.286/0001-04,devops,03/09/1924
Gisela,Kussell,Gisela.Kussell@edesoft.com,095.337.798-96,desenvolvedor python,16/12/1902
Tracey,Vins,Tracey.Vins@edesoft.com,515.681.446-87,estagiario,04/05/1987
Elora,Warthman,Elora.Warthman@edesoft.com,60.776.557/0001-40,diretor,21/09/1976
Nananne,Zenas,Nananne.Zenas@edesoft.com,572.075.254-43,eng. software,07/02/1942
Marylou,Zeeba,Marylou.Zeeba@edesoft.com,993.619.481-05,estagiario,20/10/1956
Leanna,Minetta,Leanna.Minetta@edesoft.com,017.465.375-15,eng. software,21/10/1965
Lacie,Candy,Lacie.Candy@edesoft.com,36.148.545/0001-97,dba,10/03/1929
Siana,Read,Siana.Read@edesoft.com,352.834.925-59,diretor,07/03/1990
Corina,Yerkovich,Corina.Yerkovich@edesoft.com,030.309.008-19,diretor,18/10/1917
Jenilee,Mott,Jenilee.Mott@edesoft.com,772.749.175-60,devops,01/03/1999
Di,Truc,Di.Truc@edesoft.com,16.083.751/0001-59,estagiario,30/12/1983
Elyssa,Dawkins,Elyssa.Dawkins@edesoft.com,58.543.078/0001-32,estagiario,13/09/1941
Modestia,Sherfield,Modestia.Sherfield@edesoft.com,243.639.349-48,eng. software,31/05/1935
Barbi,Maiah,Barbi.Maiah@edesoft.com,529.644.494-90,desenvolvedor python,27/12/1913
Rani,Faro,Rani.Faro@edesoft.com,06.170.226/0001-17,estagiario,13/11/1964
Wendi,Brenn,Wendi.Brenn@edesoft.com,24.841.927/0001-12,estagiario,16/05/1935
Cam,Turne,Cam.Turne@edesoft.com,585.593.434-90,diretor,22/05/1952
Aryn,Klemperer,Aryn.Klemperer@edesoft.com,35.719.720/0001-96,dba,18/12/1915
Myriam,Maxi,Myriam.Maxi@edesoft.com,461.835.929-35,estagiario,19/10/1937
Carilyn,Alva,Carilyn.Alva@edesoft.com,03.209.478/0001-14,dba,25/03/1988
Dania,Morehouse,Dania.Morehouse@edesoft.com,434.549.523-79,diretor,10/07/1964
Tarra,Albertine,Tarra.Albertine@edesoft.com,762.138.234-17,dba,23/08/1986
Charissa,Weide,Charissa.Weide@edesoft.com,735.221.024-52,desenvolvedor python,08/11/1969
Caressa,Zrike,Caressa.Zrike@edesoft.com,35.349.168/0001-91,gerente,15/01/1963
Vita,Bibi,Vita.Bibi@edesoft.com,791.011.789-20,desenvolvedor python,22/12/1983
Natka,Cadmar,Natka.Cadmar@edesoft.com,378.079.645-70,eng. software,22/05/1900
Marinna,Wittie,Marinna.Wittie@edesoft.com,028.910.655-90,estagiario,06/08/1973
Rhoda,Malanie,Rhoda.Malanie@edesoft.com,86.600.098/0001-33,diretor,31/08/1991
Rosene,Lemuela,Rosene.Lemuela@edesoft.com,378.269.481-34,estagiario,16/02/1942
Charissa,Gaal,Charissa.Gaal@edesoft.com,06.272.329/0001-98,estagiario,18/01/1923
Charmaine,Alexandr,Charmaine.Alexandr@edesoft.com,00.958.072/0001-46,eng. software,19/06/1935
Bernardine,Schonfeld,Bernardine.Schonfeld@edesoft.com,154.447.124-66,eng. software,25/01/1938
Flo,Astra,Flo.Astra@edesoft.com,45.741.561/0001-80,gerente,09/09/2000
Pamella,Boycey,Pamella.Boycey@edesoft.com,72.089.462/0001-38,devops,01/08/1959
Ofilia,Odell,Ofilia.Odell@edesoft.com,70.248.241/0001-30,devops,31/12/1992
Luci,Etom,Luci.Etom@edesoft.com,622.566.059-30,eng. software,10/09/1983
Trixi,Claudine,Trixi.Claudine@edesoft.com,12.435.523/0001-40,eng. software,29/05/1979
Pamella,Montgomery,Pamella.Montgomery@edesoft.com,56.035.926/0001-77,diretor,28/01/1999
Joceline,Isidore,Joceline.Isidore@edesoft.com,648.556.235-47,gerente,02/11/1900
Dulce,Sandye,Dulce.Sandye@edesoft.com,926.773.558-68,desenvolvedor python,03/08/1910
Robinia,Newell,Robinia.Newell@edesoft.com,58.120.822/0001-96,estagiario,23/02/1952
Elmira,Clara,Elmira.Clara@edesoft.com,81.733.911/0001-20,gerente,02/04/1961
Glenda,Zeeba,Glenda.Zeeba@edesoft.com,650.886.934-51,estagiario,16/10/2001
Vanessa,Burch,Vanessa.Burch@edesoft.com,92.706.960/0001-90,eng. software,14/12/1928
Leeanne,Miru,Leeanne.Miru@edesoft.com,639.715.515-30,diretor,27/10/1920
Veda,Maxi,Veda.Maxi@edesoft.com,510.063.886-99,desenvolvedor python,22/09/1942
Maryellen,Erb,Maryellen.Erb@edesoft.com,62.968.446/0001-61,gerente,06/11/1972
Larine,Eno,Larine.Eno@edesoft.com,38.695.712/0001-45,dba,08/12/1905
Sadie,Vivle,Sadie.Vivle@edesoft.com,00.020.431/0001-10,diretor,04/06/2000
Tilly,Kunin,Tilly.Kunin@edesoft.com,562.685.998-53,estagiario,13/02/1921
Tabbatha,Revkah,Tabbatha.Revkah@edesoft.com,790.444.060-19,eng. software,07/02/2002
Cherilyn,Angelis,Cherilyn.Angelis@edesoft.com,40.231.352/0001-72,diretor,28/04/2001
Etta,Freddi,Etta.Freddi@edesoft.com,66.832.925/0001-07,desenvolvedor python,08/11/1922
Brietta,Connelly,Brietta.Connelly@edesoft.com,86.123.429/0001-91,desenvolvedor python,08/04/1979
Addia,Randene,Addia.Randene@edesoft.com,791.213.597-92,devops,20/09/1971
Brooks,Zrike,Brooks.Zrike@edesoft.com,45.702.059/0001-60,eng. software,11/05/1960
Jackie,Arathorn,Jackie.Arathorn@edesoft.com,622.580.797-72,dba,26/01/1987
Nita,Weinreb,Nita.Weinreb@edesoft.com,329.404.279-50,eng. software,18/02/1937
Rosanne,Joni,Rosanne.Joni@edesoft.com,421.603.047-51,desenvolvedor python,25/06/1963
Jany,Atcliffe,Jany.Atcliffe@edesoft.com,978.352.095-43,eng. software,07/02/1969
Gui,Margret,Gui.Margret@edesoft.com,18.625.660/0001-23,devops,31/03/1917
Alleen,Kristi,Alleen.Kristi@edesoft.com,501.443.769-97,dba,21/01/1947
Kamilah,Cutlerr,Kamilah.Cutlerr@edesoft.com,435.657.543-11,eng. software,28/09/1952
Marcelline,Dituri,Marcelline.Dituri@edesoft.com,10.577.585/0001-60,eng. software,15/10/1991
Annora,Rurik,Annora.Rurik@edesoft.com,272.118.996-46,estagiario,21/11/1988
Bertine,Saree,Bertine.Saree@edesoft.com,04.320.037/0001-58,dba,16/08/1932
Madeleine,Vanni,Madeleine.Vanni@edesoft.com,09.088.279/0001-81,devops,19/12/1931
Roz,Desai,Roz.Desai@edesoft.com,01.419.431/0001-50,diretor,15/11/1976
Rosabelle,Couture,Rosabelle.Couture@edesoft.com,65.923.834/0001-14,estagiario,12/01/1979
Marline,Nester,Marline.Nester@edesoft.com,70.291.135/0001-39,diretor,11/12/1918
Monika,Old,Monika.Old@edesoft.com,82.668.193/0001-18,dba,17/09/1982
Emelina,Lynn,Emelina.Lynn@edesoft.com,17.962.842/0001-27,estagiario,04/05/1953
Joleen,Trace,Joleen.Trace@edesoft.com,040.956.902-08,gerente,04/07/1966
Dede,Melan,Dede.Melan@edesoft.com,212.042.859-00,dba,26/05/1945
Sonni,Francene,Sonni.Francene@edesoft.com,627.175.789-86,dba,18/07/1934
Lynde,Campball,Lynde.Campball@edesoft.com,31.725.261/0001-00,estagiario,23/02/1925
Ninnetta,Baylor,Ninnetta.Baylor@edesoft.com,16.500.438/0001-79,gerente,21/09/1972
Thalia,Gregrory,Thalia.Gregrory@edesoft.com,80.018.925/0001-07,dba,30/04/1979
Sara-Ann,Capello,Sara-Ann.Capello@edesoft.com,711.677.934-55,desenvolvedor python,08/03/1972
Arabel,Lemuela,Arabel.Lemuela@edesoft.com,77.986.459/0001-30,gerente,10/12/1955
Marti,Joseph,Marti.Joseph@edesoft.com,015.908.994-82,eng. software,13/08/1988
Robbi,Autrey,Robbi.Autrey@edesoft.com,41.296.881/0001-17,dba,11/09/1980
Orelia,Nikaniki,Orelia.Nikaniki@edesoft.com,384.762.144-05,eng. software,25/06/1954
Libbie,Seessel,Libbie.Seessel@edesoft.com,660.747.386-53,gerente,16/11/1991
Gwyneth,Meter,Gwyneth.Meter@edesoft.com,230.651.942-01,dba,22/01/1961
Ivett,Pearse,Ivett.Pearse@edesoft.com,96.550.064/0001-35,gerente,13/11/1993
Carmela,Emmy,Carmela.Emmy@edesoft.com,63.009.458/0001-21,eng. software,25/07/1976
Rosanne,McAdams,Rosanne.McAdams@edesoft.com,125.195.866-48,dba,16/12/1970
Fayre,Masao,Fayre.Masao@edesoft.com,43.241.664/0001-55,eng. software,10/11/1919
Frances,Miru,Frances.Miru@edesoft.com,02.870.317/0001-04,gerente,28/02/1919
Corene,Morehouse,Corene.Morehouse@edesoft.com,58.461.878/0001-04,dba,08/02/1936
Caressa,Shelba,Caressa.Shelba@edesoft.com,90.400.944/0001-49,diretor,19/10/1986
Genovera,Eno,Genovera.Eno@edesoft.com,24.162.986/0001-64,gerente,23/10/1941
Carolina,Wooster,Carolina.Wooster@edesoft.com,05.937.984/0001-55,estagiario,26/02/1926
Gusella,Korey,Gusella.Korey@edesoft.com,16.367.212/0001-41,dba,15/08/1995
Dale,Gerge,Dale.Gerge@edesoft.com,154.628.091-07,dba,29/11/1917
Corina,Dosia,Corina.Dosia@edesoft.com,203.050.725-36,estagiario,29/03/1926
Maryellen,Dudley,Maryellen.Dudley@edesoft.com,371.268.872-56,desenvolvedor python,29/05/1979
Kylynn,Darrell,Kylynn.Darrell@edesoft.com,32.427.310/0001-83,diretor,15/11/1960
Gusella,Autrey,Gusella.Autrey@edesoft.com,719.528.217-11,estagiario,27/08/1916
Raina,Susannah,Raina.Susannah@edesoft.com,86.945.762/0001-86,dba,27/01/1998
Ricky,Kirbee,Ricky.Kirbee@edesoft.com,74.065.089/0001-00,estagiario,16/08/1942
Larine,Skurnik,Larine.Skurnik@edesoft.com,26.383.785/0001-12,eng. software,18/03/1968
Henriette,Chandler,Henriette.Chandler@edesoft.com,614.941.513-91,desenvolvedor python,13/02/1960
Tamqrah,Natalia,Tamqrah.Natalia@edesoft.com,67.738.888/0001-35,estagiario,17/05/1905
Winny,Mata,Winny.Mata@edesoft.com,825.801.958-90,desenvolvedor python,17/07/1999
Sashenka,Ralfston,Sashenka.Ralfston@edesoft.com,59.462.372/0001-82,dba,12/10/1937
Lorne,Braun,Lorne.Braun@edesoft.com,97.532.822/0001-55,gerente,23/09/1931
Jillayne,Moseley,Jillayne.Moseley@edesoft.com,992.970.278-49,devops,06/10/1915
Dale,Rad,Dale.Rad@edesoft.com,159.356.567-44,dba,04/08/1938
Genovera,Vary,Genovera.Vary@edesoft.com,482.222.284-55,desenvolvedor python,01/10/1911
Ada,Rebecka,Ada.Rebecka@edesoft.com,95.056.971/0001-60,desenvolvedor python,25/02/1922
Melodie,Sheng,Melodie.Sheng@edesoft.com,32.916.596/0001-60,gerente,12/09/1941
Emilia,Strephon,Emilia.Strephon@edesoft.com,60.999.511/0001-90,estagiario,20/03/1983
Perry,Cyrie,Perry.Cyrie@edesoft.com,631.041.125-09,estagiario,19/09/2003
Bill,Ricarda,Bill.Ricarda@edesoft.com,242.568.992-35,dba,06/04/1958
Bettine,Hachmin,Bettine.Hachmin@edesoft.com,107.170.005-75,dba,24/02/1960
Alameda,Lorain,Alameda.Lorain@edesoft.com,168.202.508-00,devops,05/09/1969
Nannie,Kravits,Nannie.Kravits@edesoft.com,71.735.106/0001-81,estagiario,04/10/1919
Gisela,Isacco,Gisela.Isacco@edesoft.com,57.342.297/0001-90,eng. software,27/09/1960
Zsa Zsa,Schwejda,Zsa Zsa.Schwejda@edesoft.com,194.567.508-09,estagiario,20/07/1983
Aili,Shaddock,Aili.Shaddock@edesoft.com,63.566.137/0001-28,devops,14/10/1900
Sarette,Prober,Sarette.Prober@edesoft.com,67.589.789/0001-39,estagiario,04/04/1949
Sandie,Romelda,Sandie.Romelda@edesoft.com,95.705.972/0001-98,dba,18/08/1917
Lynea,Adalbert,Lynea.Adalbert@edesoft.com,312.367.355-36,desenvolvedor python,15/05/1931
Netty,Cath,Netty.Cath@edesoft.com,324.297.505-70,eng. software,05/06/1916
Taffy,Joeann,Taffy.Joeann@edesoft.com,291.837.271-40,eng. software,20/08/1947
Consuela,Bonilla,Consuela.Bonilla@edesoft.com,856.484.115-02,estagiario,28/03/1939
Kimberley,Pacorro,Kimberley.Pacorro@edesoft.com,71.521.743/0001-55,diretor,04/01/1906
Donetta,Bluh,Donetta.Bluh@edesoft.com,89.553.795/0001-79,gerente,29/11/1977
Hollie,Socha,Hollie.Socha@edesoft.com,94.454.304/0001-72,eng. software,03/07/1938
Jacenta,Dahlia,Jacenta.Dahlia@edesoft.com,73.231.156/0001-57,gerente,18/08/1973
Madalyn,Quent,Madalyn.Quent@edesoft.com,03.465.739/0001-67,diretor,03/07/1951
Reeba,Janene,Reeba.Janene@edesoft.com,192.855.074-68,desenvolvedor python,25/10/1984
Imojean,Grosz,Imojean.Grosz@edesoft.com,79.544.520/0001-15,dba,31/07/1945
Wendi,Decato,Wendi.Decato@edesoft.com,023.310.012-19,estagiario,30/08/1904
Alyssa,Emmaline,Alyssa.Emmaline@edesoft.com,53.545.863/0001-00,gerente,24/07/1911
Tina,Tayib,Tina.Tayib@edesoft.com,70.863.926/0001-96,dba,25/12/1961
Nananne,Fry,Nananne.Fry@edesoft.com,05.344.591/0001-38,desenvolvedor python,24/11/2003
Orelia,Brian,Orelia.Brian@edesoft.com,601.745.201-07,devops,13/03/1946
Amii,Sigfrid,Amii.Sigfrid@edesoft.com,68.643.511/0001-65,estagiario,29/08/1931
Emelina,Helve,Emelina.Helve@edesoft.com,000.396.917-72,desenvolvedor python,19/08/1991
Corina,Medrek,Corina.Medrek@edesoft.com,92.583.400/0001-95,desenvolvedor python,07/11/1975
Kaja,Soneson,Kaja.Soneson@edesoft.com,71.549.243/0001-21,diretor,17/08/1951
Halette,Si,Halette.Si@edesoft.com,49.991.905/0001-60,gerente,11/12/1908
Cecile,Adamsen,Cecile.Adamsen@edesoft.com,06.648.245/0001-06,dba,05/07/1967
Daune,Dreda,Daune.Dreda@edesoft.com,200.177.509-11,estagiario,16/08/1936
Almeta,Constancy,Almeta.Constancy@edesoft.com,429.012.769-03,desenvolvedor python,11/10/1923
Lindie,Lasley,Lindie.Lasley@edesoft.com,486.409.139-00,desenvolvedor python,07/12/1996
Yolane,Bettine,Yolane.Bettine@edesoft.com,416.563.676-29,eng. software,22/11/1950
Sybille,Hilbert,Sybille.Hilbert@edesoft.com,93.874.790/0001-15,estagiario,27/05/1936
Elvira,Pernick,Elvira.Pernick@edesoft.com,970.274.252-89,diretor,19/09/1945
Carlie,Simmonds,Carlie.Simmonds@edesoft.com,482.201.700-18,diretor,27/02/1993
Jinny,Hylan,Jinny.Hylan@edesoft.com,62.979.719/0001-73,dba,24/10/1960
Pearline,Wu,Pearline.Wu@edesoft.com,764.008.479-28,diretor,22/04/1914
Leeanne,Whittaker,Leeanne.Whittaker@edesoft.com,07.724.615/0001-00,diretor,06/09/1994
Raina,Mayeda,Raina.Mayeda@edesoft.com,657.120.363-47,estagiario,13/07/1931
Orelia,Raimondo,Orelia.Raimondo@edesoft.com,877.765.843-47,gerente,09/03/1937
Dagmar,Woodberry,Dagmar.Woodberry@edesoft.com,97.097.262/0001-58,devops,22/10/1992
Jordan,Dawkins,Jordan.Dawkins@edesoft.com,82.513.388/0001-99,diretor,01/02/1911
Kylynn,Sperling,Kylynn.Sperling@edesoft.com,468.529.236-73,dba,25/02/1993
Amii,Ferrell,Amii.Ferrell@edesoft.com,883.962.989-04,diretor,06/09/1929
Dulcinea,Salvidor,Dulcinea.Salvidor@edesoft.com,176.768.244-19,eng. software,01/03/1933
Aryn,Zola,Aryn.Zola@edesoft.com,720.577.214-18,dba,15/09/1938
Chastity,Henrie,Chastity.Henrie@edesoft.com,609.847.164-91,estagiario,04/06/1936
Dominga,Keily,Dominga.Keily@edesoft.com,17.362.431/0001-09,estagiario,02/02/1917
Alameda,Felizio,Alameda.Felizio@edesoft.com,225.011.222-32,dba,26/10/1989
Lauryn,Alice,Lauryn.Alice@edesoft.com,953.846.572-51,desenvolvedor python,27/08/1947
Arlena,Gaulin,Arlena.Gaulin@edesoft.com,591.411.206-04,dba,04/01/1958
Marjie,Medrek,Marjie.Medrek@edesoft.com,743.077.920-41,eng. software,16/05/1921
Cristine,Melan,Cristine.Melan@edesoft.com,31.941.441/0001-11,eng. software,30/04/1916
Sarette,Stacy,Sarette.Stacy@edesoft.com,540.095.023-04,estagiario,08/02/1983
Tracey,Plato,Tracey.Plato@edesoft.com,278.862.336-46,diretor,27/08/1955
Basia,Abernon,Basia.Abernon@edesoft.com,81.909.667/0001-03,dba,23/12/1936
Lusa,Devlen,Lusa.Devlen@edesoft.com,05.188.469/0001-10,estagiario,01/08/1986
Dulcinea,Olympium,Dulcinea.Olympium@edesoft.com,296.120.573-54,desenvolvedor python,25/07/1908
Georgetta,Wenda,Georgetta.Wenda@edesoft.com,360.208.907-08,dba,26/03/1950
Jere,Isidore,Jere.Isidore@edesoft.com,753.442.001-61,dba,31/01/1963
Moyna,Amasa,Moyna.Amasa@edesoft.com,462.473.570-60,dba,20/07/1978
Brynna,Bonilla,Brynna.Bonilla@edesoft.com,125.238.472-64,devops,25/01/1923
Kayla,Stilwell,Kayla.Stilwell@edesoft.com,11.256.328/0001-90,diretor,20/09/1999
Joy,Ranjiv,Joy.Ranjiv@edesoft.com,85.053.271/0001-68,estagiario,23/05/1905
Ardenia,Chauncey,Ardenia.Chauncey@edesoft.com,456.324.245-45,estagiario,17/04/1959
Ivett,Verger,Ivett.Verger@edesoft.com,94.776.712/0001-40,desenvolvedor python,31/03/1946
Addia,Remmer,Addia.Remmer@edesoft.com,03.897.205/0001-00,dba,28/11/1987
Hope,Morehouse,Hope.Morehouse@edesoft.com,939.837.258-48,devops,21/08/1979
Amalie,Marisa,Amalie.Marisa@edesoft.com,92.534.541/0001-18,diretor,09/06/1923
Katuscha,Buttaro,Katuscha.Buttaro@edesoft.com,339.842.222-54,estagiario,25/05/1917
Sheree,Amasa,Sheree.Amasa@edesoft.com,518.623.227-08,eng. software,23/12/1979
Norine,Madelene,Norine.Madelene@edesoft.com,084.878.791-95,gerente,02/07/1947
Jerry,Janene,Jerry.Janene@edesoft.com,127.316.800-32,gerente,19/12/1919
Juliane,Karna,Juliane.Karna@edesoft.com,97.452.795/0001-00,desenvolvedor python,06/09/1901
Winny,Alva,Winny.Alva@edesoft.com,04.153.649/0001-01,estagiario,08/01/1985
Rhea,Waite,Rhea.Waite@edesoft.com,310.585.292-18,devops,01/10/1911
Nikki,Zeeba,Nikki.Zeeba@edesoft.com,192.602.950-09,diretor,03/08/1926
Raina,Grosz,Raina.Grosz@edesoft.com,14.094.204/0001-43,estagiario,25/10/1975
Jessamyn,Kirbee,Jessamyn.Kirbee@edesoft.com,75.941.722/0001-40,eng. software,10/10/1963
Atlanta,Duwalt,Atlanta.Duwalt@edesoft.com,914.848.097-50,desenvolvedor python,13/03/1933
Kayla,Izaak,Kayla.Izaak@edesoft.com,418.134.926-89,devops,15/09/1996
Annice,Mandler,Annice.Mandler@edesoft.com,991.872.086-79,estagiario,22/01/1933
Karina,Pelagias,Karina.Pelagias@edesoft.com,248.370.351-83,desenvolvedor python,24/10/1950
Sam,Shanley,Sam.Shanley@edesoft.com,28.767.918/0001-80,devops,20/04/1974
Modestia,Donell,Modestia.Donell@edesoft.com,88.594.981/0001-93,gerente,30/07/1975
Myriam,Lowry,Myriam.Lowry@edesoft.com,511.879.742-00,eng. software,05/04/1962
Lacie,Gabrielli,Lacie.Gabrielli@edesoft.com,116.011.852-35,gerente,24/04/1950
Roslyn,Lewes,Roslyn.Lewes@edesoft.com,53.273.928/0001-06,eng. software,21/10/1934
Marcelline,McLaughlin,Marcelline.McLaughlin@edesoft.com,118.459.333-70,desenvolvedor python,16/08/1914
Rochette,Maisey,Rochette.Maisey@edesoft.com,071.113.507-07,diretor,05/05/1926
Stacey,Bobbee,Stacey.Bobbee@edesoft.com,572.989.832-02,gerente,26/02/1963
Kellen,Ferino,Kellen.Ferino@edesoft.com,17.121.917/0001-47,diretor,24/10/1941
Rosanne,Cornelia,Rosanne.Cornelia@edesoft.com,43.709.511/0001-90,estagiario,26/11/1932
Dawn,Margret,Dawn.Margret@edesoft.com,63.321.725/0001-00,desenvolvedor python,05/12/1947
Celestyna,Lorain,Celestyna.Lorain@edesoft.com,93.382.560/0001-39,diretor,09/10/1911
Marleah,Karna,Marleah.Karna@edesoft.com,89.429.157/0001-40,estagiario,08/10/1965
Deloria,Phaidra,Deloria.Phaidra@edesoft.com,18.407.281/0001-67,dba,26/08/1933
Adele,Evvie,Adele.Evvie@edesoft.com,02.936.511/0001-45,gerente,10/06/1916
Nanete,Dorothy,Nanete.Dorothy@edesoft.com,885.405.066-02,devops,03/05/1919
Gale,Billye,Gale.Billye@edesoft.com,75.199.177/0001-68,diretor,03/08/1970
Bobinette,Riva,Bobinette.Riva@edesoft.com,71.829.661/0001-72,devops,19/06/2000
Merrie,Carbo,Merrie.Carbo@edesoft.com,123.493.367-51,eng. software,09/12/1973
Ayn,Damarra,Ayn.Damarra@edesoft.com,92.522.395/0001-00,dba,31/01/1912
Caryl,Faro,Caryl.Faro@edesoft.com,326.749.485-07,estagiario,16/04/1942
Hannis,Lindemann,Hannis.Lindemann@edesoft.com,95.087.923/0001-39,desenvolvedor python,31/12/1971
Belva,Bibi,Belva.Bibi@edesoft.com,73.837.522/0001-16,diretor,25/09/1934
Sashenka,Elo,Sashenka.Elo@edesoft.com,108.407.634-92,eng. software,20/09/1914
Dorene,Telfer,Dorene.Telfer@edesoft.com,25.746.650/0001-01,desenvolvedor python,02/05/1924
Renae,Toni,Renae.Toni@edesoft.com,304.135.806-95,estagiario,24/08/1942
Paulita,Lipson,Paulita.Lipson@edesoft.com,096.213.238-19,gerente,08/11/1978
Marline,Rosalba,Marline.Rosalba@edesoft.com,508.208.793-20,estagiario,25/08/2003
Selma,Gaulin,Selma.Gaulin@edesoft.com,16.975.799/0001-71,eng. software,10/10/1998
Bettine,Ovid,Bettine.Ovid@edesoft.com,21.308.331/0001-63,estagiario,29/09/1940
Chrystel,Annabella,Chrystel.Annabella@edesoft.com,804.822.511-58,eng. software,07/07/1917
Agathe,Isidore,Agathe.Isidore@edesoft.com,64.202.541/0001-85,diretor,09/11/1946
Vanessa,Lenny,Vanessa.Lenny@edesoft.com,58.942.376/0001-03,devops,26/11/1986
Pollyanna,Odell,Pollyanna.Odell@edesoft.com,829.349.592-87,estagiario,09/05/1932
Randa,Jagir,Randa.Jagir@edesoft.com,333.911.324-69,eng. software,12/02/1947
Alexine,Jaylene,Alexine.Jaylene@edesoft.com,718.375.013-27,estagiario,27/07/1982
Demetris,Lynn,Demetris.Lynn@edesoft.com,460.769.960-80,diretor,15/08/1916
Andree,Isidore,Andree.Isidore@edesoft.com,82.050.517/0001-50,devops,21/06/1926
Lynnea,Gunn,Lynnea.Gunn@edesoft.com,49.994.949/0001-43,estagiario,12/02/1955
Joane,Schwejda,Joane.Schwejda@edesoft.com,81.942.218/0001-67,estagiario,11/04/1953
Olwen,Japeth,Olwen.Japeth@edesoft.com,77.393.803/0001-88,desenvolvedor python,25/03/1919
Margalo,Engdahl,Margalo.Engdahl@edesoft.com,967.394.083-51,desenvolvedor python,18/02/1992
Winny,Katrine,Winny.Katrine@edesoft.com,84.418.365/0001-20,devops,21/03/1994
Joceline,Corilla,Joceline.Corilla@edesoft.com,210.398.467-69,dba,30/10/1978
Dolli,Papageno,Dolli.Papageno@edesoft.com,270.679.234-50,diretor,14/04/1909
Berta,Mich,Berta.Mich@edesoft.com,311.330.429-61,eng. software,01/09/1963
Phylis,Concha,Phylis.Concha@edesoft.com,62.780.136/0001-19,dba,07/09/1932
Adriana,Haerr,Adriana.Haerr@edesoft.com,43.218.444/0001-00,gerente,22/03/1999
Tera,Estella,Tera.Estella@edesoft.com,73.699.595/0001-99,gerente,27/02/1945
Nickie,Celestine,Nickie.Celestine@edesoft.com,082.333.595-05,dba,12/02/1908
Minne,Tice,Minne.Tice@edesoft.com,46.300.868/0001-08,desenvolvedor python,12/05/1922
Maurene,Palocz,Maurene.Palocz@edesoft.com,72.871.078/0001-92,eng. software,21/02/1962
Dyann,Lail,Dyann.Lail@edesoft.com,34.944.681/0001-68,diretor,07/09/2000
Edyth,Sisile,Edyth.Sisile@edesoft.com,00.368.419/0001-09,devops,07/10/1922
Kathi,Parette,Kathi.Parette@edesoft.com,32.507.284/0001-01,diretor,15/02/1918
Stacey,Gualtiero,Stacey.Gualtiero@edesoft.com,343.261.216-88,estagiario,03/06/1980
Lilith,Zrike,Lilith.Zrike@edesoft.com,96.701.791/0001-56,desenvolvedor python,24/11/1976
Melisent,Gusella,Melisent.Gusella@edesoft.com,74.983.834/0001-09,estagiario,29/12/1955
Ashlee,My,Ashlee.My@edesoft.com,602.349.800-01,devops,27/09/1908
Jordan,Brandice,Jordan.Brandice@edesoft.com,16.625.842/0001-79,eng. software,04/11/1971
Tani,Jenness,Tani.Jenness@edesoft.com,02.722.103/0001-90,diretor,26/02/1994
Sissy,Hertzfeld,Sissy.Hertzfeld@edesoft.com,680.953.224-23,estagiario,13/07/1923
Elyssa,Allina,Elyssa.Allina@edesoft.com,90.540.562/0001-10,eng. software,02/02/1917
Tina,Chobot,Tina.Chobot@edesoft.com,797.469.819-51,devops,09/06/1921
Joeann,Albertine,Joeann.Albertine@edesoft.com,805.868.731-63,estagiario,24/02/1985
Silvana,Gale,Silvana.Gale@edesoft.com,027.832.046-57,dba,18/09/1949
Carlie,Oscar,Carlie.Oscar@edesoft.com,748.039.808-53,estagiario,18/07/1962
Keelia,Cottle,Keelia.Cottle@edesoft.com,38.760.180/0001-82,eng. software,11/12/1915
Babita,Fadiman,Babita.Fadiman@edesoft.com,81.565.600/0001-07,eng. software,10/01/1981
Edyth,Redmond,Edyth.Redmond@edesoft.com,154.290.496-03,dba,03/08/1927
Cristabel,Arathorn,Cristabel.Arathorn@edesoft.com,69.363.100/0001-89,desenvolvedor python,17/06/1990
Danny,Valerio,Danny.Valerio@edesoft.com,41.127.079/0001-01,devops,29/04/1932
Lorenza,Korey,Lorenza.Korey@edesoft.com,872.273.301-92,diretor,14/10/1907
Justinn,Nea,Justinn.Nea@edesoft.com,63.799.522/0001-15,dba,02/05/1969
Meghann,Donoghue,Meghann.Donoghue@edesoft.com,96.706.668/0001-28,dba,14/08/1929
Dale,Bari,Dale.Bari@edesoft.com,61.082.894/0001-09,dba,13/12/1907
Kelly,Lutero,Kelly.Lutero@edesoft.com,960.391.720-61,gerente,05/01/1931
Brietta,Helfand,Brietta.Helfand@edesoft.com,95.983.211/0001-06,devops,26/12/1922
Goldie,Beniamino,Goldie.Beniamino@edesoft.com,138.518.463-97,devops,18/08/1923
